index,modality
0,Ampla concorrência
1,Candidato (s) Indígenas
2,Candidato (s) Quilombolas
3,"Candidatos autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
4,"Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
5,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
6,"Candidatos com deficiência autodeclarados pretos, pardos ou indígenas, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)"
7,"Candidatos com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
8,"Candidatos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
9,NULL
10,"Candidatos com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
11,"Candidatos com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
12,com deficiência
13,"que tenham cursado todo o Ensino Médio, presencial e regular, em escolas privadas ou públicas da região do Estado do Acre."
14,com deficiência auditiva especificamente no curso de Letras-Libras
15,Candidatos que comprovarem ter cursado integralmente os ensinos fundamental e médio em escolas públicas do Distrito Federal.
16,Cota Social - Candidatos que frequentaram integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
17,Cota Sociorracial: candidatos(as) autodeclarados(as) negros(as) e que tenham frequentado integralmente todas as séries do Ensino Médio ou equivalente em instituições públicas brasileiras de ensino.
18,Candidato (s) que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino
19,"A1 - Candidatos com deficiência ou filhos de policiais militares, bombeiros militares, inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica"
20,"A2 - Candidatos negros, indígenas e quilombolas com comprovação de carência socioeconômica"
21,A3 - Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica
22,"CANDIDATOS COM DEFICIÊNCIA, OU FILHOS DE POLICIAIS CIVIS, MILITARES, BOMBEIROS MILITARES, INSPETORES DE SEGURANÇA E ADMINISTRAÇÃO PENITENCIÁRIA, MORTOS OU INCAPACITADOS EM RAZÃO DO SERVIÇO"
23,"Candidato (s) NEGROS, INDÍGENAS OU QUILOMBOLAS COM COMPROVAÇÃO DE CARÊNCIA SOCIOECONÔMICA"
24,"CANDIDATOS QUE TENHAM CURSADO, NA REDE PÚBLICA, OS ÚLTIMOS QUATRO ANOS DO ENSINO FUNDAMENTAL E TODO O ENSINO MÉDIO"
25,A2 - Candidatos negros ou indígenas com comprovação de carência socioeconômica
26,"Candidatos com deficiência, ou filhos de policiais civis, militares, bombeiros militares e inspetores de segurança e administraçã o penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de vulnerabilidade econômica"
27,"Candidatos negros, indígenas ou oriundos de comunidades quilombolas com comprovação de carência socioeconômica."
28,Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica.
29,Res. 044/2015-CONSEPE - estabelece bonificações para os candidatos aos cursos de graduação da UFAM que tenham cursado integralmente o ensino médio em instituições de ensino situadas no estado do Amazonas
30,"A3 -  o candidato tenha cursado integralmente todas as séries do 2º ciclo do Ensino Fundamental, ou seja, do 6º ao 9º ano, e todas as séries, do Ensino Médio em escolas públicas de todo o território nacional."
31,"negros, entendidos como candidatos que possuem fenótipo que os caracterizem, na sociedade, como pertencentes ao grupo racial negro"
32,que tenham cursado integralmente o Ensino Médio em instituições públicas e gratuitas de ensino
33,"com deficiência que concluíram o Ensino Médio, independente do percurso de formação."
34,"pretos e pardos, que tenham cursado integralmente o Ensino Médio em escolas públicas."
35,que tenham cursado integralmente o Ensino Médio em escolas públicas.
36,"Candidatos com deficiência ou filhos de policiais militares, bombeiros militares, inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica"
37,Candidatos Negros ou Indígenas ou Quilombolas com comprovação de carência socioeconômica
38,Candidatos que tenham cursado na rede pública os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica
39,"Candidatos autodeclarados indígenas que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
40,"Candidatos autodeclarados indígenas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e  que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
41,"Candidatos autodeclarados pretos ou pardos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
42,"Candidatos autodeclarados pretos ou pardos, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
170,"Categoria II - Candidatos declarados quilombolas, de baixa renda e egressos de escola pública"
43,"Candidatos com deficiência autodeclarados pretos ou pardos que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
44,"Candidatos com deficiência autodeclarados pretos ou pardos, que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
45,Candidatos com deficiência que cursaram todo o ensino médio em escolas públicas.
46,Candidato (s) com deficiência
47,"Candidatos residentes na região de abrangência do IFTM, até o raio de 100 km dos campi ou limítrofe do município"
48,"que tenham cursado integralmente o Ensino Médio em instituições públicas de ensino ou tenham obtido certificado de conclusão com base no resultado do Exame Nacional do Ensino Médio, ENEM, ou do Exame Nacional de Certificação de Competências de Jovens e Adultos, ENCCEJA, ou de exames de certificação de competência ou de avaliação de jovens e adultos realizados pelos sistemas de ensino e não possuam curso superior concluído ou não estejam matriculados em curso superior."
49,Candidatos com deficiência:
50,"Candidatos Egressos da Escola Pública, de baixa renda:"
51,"Candidatos Indígenas, de baixa renda que sejam egressos de escola pública:"
52,"Candidatos Negros, de baixa renda que sejam egresso de escola pública:"
53,"4% - Bonificação Regional - Base: RESOLUÇÃO CONSU No. 26/2017, DE 8 DE SETEMBRO DE 2017 -  Acréscimo de até 4% (quatro por cento) na nota final para alunos que estudaram os três anos do ensino médio (do 1o ao 3o ano) em escolas do Estado de Alagoas."
54,"5% - Bonificação Regional - Base: RESOLUÇÃO CONSU No. 26/2017, DE 8 DE SETEMBRO DE 2017 - Acréscimo de 5% (cinco por cento) na nota final para alunos que estudaram os últimos quatro anos do ensino fundamental (do 6o ao 9o ano) e os três anos do ensino médio (do 1o ao 3o ano) em escolas do Estado de Alagoas."
55,"COTAS - Escolas Públicas -  Lei Estadual no 6.542, de 7 de dezembro de 2004"
56,membros de comunidade quilombola
57,membros de grupos indígenas
58,que se declararem negros que tenham cursado todo o ensino médio e pelo menos dois anos do Ensino Fundamental II em escola pública seguindo a ordem de classificação
59,que tenham cursado todo o ensino médio e pelo menos dois anos do Ensino Fundamental II em escola pública
60,"autodeclarados negros (somatório das categorias pretos e pardos, segundo classificação étnico-racial adotada pelo IBGE) que tenham cursado o ensino fundamental 2 (do 6º ao 9º ano) e ensino medio completo ( incluindo os cursos técnicos com duração de 4 anos) ou ter realizado curso supletivo ou outra modalidade de ensino equivalente, em estabelecimento da Rede Pública de Ensino do Brasil. Vedado aos portadores de diploma de nível superior"
61,"com procedência de no mínimo sete anos de estudos regulares ou que tenham realizado curso supletivo ou outra modalidade de ensino equivalente, em estabelecimento da Rede Pública de Ensino do Brasil, compreendendo parte do ensino fundamental (6º ao 9º ano) e Ensino Médio  completo (incluindo os cursos técnicos com duração de 4 anos) ou ter realizado curso supletivo ou outra modalidade de ensino equivalente."
62,surdos que optarem pelas vagas destinadas à ampla concorrência terão bonificação de 20% na pontuação final do Exame Nacional do Ensino Médio (ENEM).
63,com Deficiência
64,"com deficiência: será reservada uma vaga, por curso e turno, qualquer que seja a sua procedência escolar."
65,"Candidatos que tenham cursado pelo menos um ano do ensino médio nos municípios que integram as regiões de influência das cidades nas quais estão implantados os campi da Unifesspa: Marabá, Rondon do Pará, Xinguara, São Felix do Xingu e Santana do Araguaia; e dos municípios que integram as regiões de influência das cidades de Imperatriz-MA e Araguaina-TO."
66,Pessoa com Deficiência
67,com deficiência PROAAf
68,com deficiência (Denominada A1)
69,Negros (pretos ou pardos) (Denominada A2)
70,Reserva de vagas para candidatos com deficiência (PCD)
71,Reserva de vagas para candidatos de Agricultura Familiar (AF)
72,"autodeclarados negros de forma irrestrita, independente do percurso de formação."
73,"autodeclarados negros que tenham cursado todo o 2º ciclo do Ensino Fundamental (5ª a 8ª séries) e todo o Ensino Médio, única e exclusivamente, na rede pública de ensino no Brasil."
74,que frequentaram integralmente as 4 últimas séries do Ensino Fundamental e todas as séries do Ensino Médio em instituições públicas brasileiras de ensino.
75,"com Deficiência, Transtorno do Espectro Autista, Altas Habilidades/Superdotação e/ou estudantes que sejam público alvo da educação especial"
76,Surdos
77,demais de escola pública
78,Indígenas
79,Negros
80,Candidatos que tiverem cursado e concluído todo o ensino médio em escolas regulares e presenciais das mesorregiões descritas pelo IBGE: I. Zona da Mata pernambucana e II. Agreste pernambucano.
81,"Candidato (s) que comprovem ter cursado e concluído todo o Ensino Médio em escolas, públicas ou privadas, localizadas nos municípios baianos distantes 150 quilômetros de qualquer campus da UFOB."
82,que cursaram o último ano do Ensino Fundamental (9º ano) e os três anos do Ensino Médio (1º ao 3º ano) em escolas públicas ou privadas do Estado do Maranhão
83,Candidato (s) Pessoas com Deficiências - PCD
84,"Candidato (s) Docentes de Escola Pública - Candidatos que comprovarem atuação como docente, em algum momento (passado ou presente), na Rede Pública de Ensino."
85,"indígenas, condição que deve ser comprovada mediante apresentação do RANI (Registro Administrativo de Nascimento de Indígena) ou declaração atestada pela FUNAI."
86,"que tenham cursado parcialmente o ensino médio em escola pública (pelo menos um ano com aprovação) ou em escolas de direito privado sem fins lucrativos, cujo orçamento da instituição seja proveniente do poder público, em pelo menos 50%."
87,Candidato (s) que comprovem serem empregados rurais ou filhos de empregados rurais ou filhos/membros de famílias pronafianas ou filhos/membros de assentados da reforma agrária.
171,"Categoria III - Candidatos declarados indígenas, de baixa renda e egressos de escola pública"
172,"Categoria IV - Candidatos declarados ciganos, de baixa renda e egressos de escola pública"
88,"Candidato (s) que tenham cursado integral, exclusiva e regularmente os anos finais do Ensino Fundamental (6º ao 9º ano) e todo o Ensino Médio em escolas da rede pública estadual ou municipal, excluindo-se os candidatos que tenham concluído curso de nível superior ainda que pendente a colação de grau."
89,Candidato (s) Oriundos da rede pública de ensino.
90,"Candidato (s) deverão ter concluído o Ensino Médio ou equivalente no Estado do Pará e residir no Estado do Pará, excluindo-se aqueles que residem nos municípios de Belém, Ananindeua e Marituba."
91,Candidato (s) deficientes auditivos especificamente no curso de Letras-Libras.
92,"com deficiência que tenham renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
93,"com deficiência que, independentemente da renda (art. 14, II, Portaria Normativa nº 18/2012), tenham cursado integralmente o ensino médio em escolas públicas (Lei nº 12.711/2012)."
94,Critério de Inclusão Regional (Bônus de 10%)
95,Candidatos residentes na área de abrangência do IFMS.
96,Pessoas Transgêneras em situação de Vulnerabilidade Econômica.
97,"Pessoas Transgêneras, independentemente de renda familiar"
98,Refugiados e Solicitantes de Refúgio em situação de Vulnerabilidade Econômica
99,"Refugiados e Solicitantes de Refúgio, independentemente de renda familiar"
100,"Candidato (s) com deficiência, ou filhos de policiais civis, militares, bombeiros militares e inspetores de segurança e administração penitenciária, mortos ou incapacitados em razão do serviço, com comprovação de carência socioeconômica"
101,Candidato (s) negros ou indígenas com comprovação de carência socioeconômica
102,"Candidato (s) que tenham cursado, na rede pública, os últimos quatro anos do ensino fundamental e todo o ensino médio e com comprovação de carência socioeconômica"
103,Candidatos Candidatos Candidato (s) Surdos Vagas reservadas
104,"autodeclarados Pretos, Pardos e Indígenas"
105,com requisitos para utilização do Argumento de Inclusão Regional
106,Cota para candidatos com deficiência
107,que tenham cursado o ensino fundamental e médio integralmente em escola pública
108,Candidato (s) economicamente hipossuficientes
109,Candidato (s) economicamente hipossuficientes indígenas
110,Candidato (s) economicamente hipossuficientes negros e pardos
111,"que cursaram o Ensino Médio, integral e exclusivamente, em escola pública do Brasil, e que não tenham concluído curso de graduação"
112,Candidatos com deficiência
113,Candidatos filhos de empregados rurais ou filhos de famílias pronafianas (famílias beneficiárias do Programa Nacional de Fortalecimento da Agricultura Familiar ¿ PRONAF) ou filhos de assentados da Reforma Agrária.
114,"que concluíram o Ensino Fundamental e cursaram todo o Ensino Médio em escolas regulares presenciais, públicas ou privadas, nas microrregiões de Borborema Potiguar-RN, Seridó Ocidental-RN, Seridó Oriental-RN, Agreste Potiguar-RN, Angicos-RN, Serra de Santana-RN, Vale do Açu-RN, Catolé do Rocha-PB, Curimataú Ocidental-PB, Curimataú Oriental-PB, Patos-PB, Seridó Ocidental Paraibano-PB, Seridó Oriental Paraibano-PB ou Sousa-PB, excluídos aqueles que concluíram o Ensino Fundamental e/ou o Ensino Médio por meio de exames supletivos."
115,"autodeclarados pretos, pardos ou indígenas com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, que tenham cursado integralmente o ensino médio em escolas públicas. (L2)"
116,"autodeclarados pretos, pardos ou indígenas que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas. (L4)"
117,"com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, que tenham cursado integralmente o ensino médio em escolas públicas. (L1)"
118,"que independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas. (L3)"
119,Candidatos Candidatos Pessoa com Deficiência independentemente da sua condição acadêmica prévia declarada (pública ou privada)
120,Candidatos professores em exercício do magistério do ensino fundamental e médio da rede pública de ensino.
121,Candidato (s) com deficiência.
122,"Candidato (s) que cursaram o ensino médio, integral e exclusivamente, em escola pública do Brasil e que não tenham concluído curso de graduação."
123,"Será atribuído um bônus de 20% (vinte por cento) sobre o resultado obtido no ENEM  aos candidatos que cursaram integralmente o Ensino Médio ou equivalente em Instituições de ensino regulares, públicas ou privadas, situadas no Estado do Amapá ou no Pará, especificamente, na Mesorregião do Marajó ou ainda no Município de Almeirim"
124,"Cinquenta por cento das vagas da Ampla Concorrência são destinadas para candidatos comprovadamente surdos, de acordo com a legislação vigente, desde que seja apresentada a comprovação via documentação médica, elaborada por instituição pública ou privada, com laudo vigente em até 12 meses de antecedência em relação à data de matrícula. Não havendo o preenchimento total da reserva para Candidatos Surdos, as vagas remanescentes serão disponibilizadas para Ampla Concorrência."
125,"A3 - Candidatos que tenham cursado integralmente o Ensino Médio em escolas localizadas na Região do Baixo Tocantins, Estado do Pará, nos municípios de Abaetetuba, Baião, Barcarena, Cametá, Moju, Igarapé-miri, Mocajuba, Oeiras do Pará e Limoeiro do Ajuru."
126,"A7 - Candidatos residentes na Microrregião Bragantina, Estado do Pará, nos seguintes municípios: Augusto Corrêa, Bonito, Bragança, Capanema, Igarapé, Nova Timboteua, Peixe-Boi, Primavera, Quatipuru, Santa Maria do Pará, Santarém Novo, São Francisco do Pará, Tracuateua."
127,"A1 - Candidatos que tenham cursado integralmente o ensino médio em instituições públicas de ensino e sejam aquicultores ou pescadores ou agricultores familiar ou seus filhos, cuja atividade principal atual provenha da aquicultura ou da pesca ou da agricultura na Região Amazônica."
128,"A2 - Candidatos egressos de cursos técnicos das áreas de ciências agrárias ou ambiental, e que tenham cursado integralmente seus cursos em instituições públicas ensino, federal ou estadual na Região Amazônica."
129,"A4 - Candidatos egressos do Programa Projovem, PRONERA, casa familiar rural ou escola familiar agrícola na Região Amazônica."
173,Categoria V - Outros candidatos de baixa renda e egressos de escola pública
174,Categoria VI - Pessoas com deficiência
130,"A5 - Candidatos que tenham cursado integralmente o Ensino Médio em escola pública localizadas na Região do Lago da Usina Hidrelétrica de Tucuruí, Estado do Pará, nos municípios de Baião, Breu Branco, Goianésia do Pará, Jacundá, Mocajuba, Nova Ipixuna, Novo Repartimento e Tucuruí."
131,"A11 - Candidatos  que tenham cursado integralmente o  ensino  médio  em  escolas  localizadas  na  região de   abrangência   do   IFPA   campus   Castanhal,   conforme   Resolução   n°   111,   de   19/08/2015 CONSUP,  nos  municípios  de:  Aurora  do  Pará,  Bujaru, Castanhal,  Concórdia  do  Pará,  Curuçá, Igarapé-Açu, Inhangapi, Ipixina do Pará, Irituia, Magalhães Barata, Mãe do Rio, Marapanim, Santa Isabel do Pará, Santa Maria do Pará, São Domingos do Capim, São Francisco do Pará, São João da Ponta, São Miguel do Guamá, Terra Alta e Tomé-Açu."
132,"A10 - Candidatos egressos de cursos técnicos na área de produção alimentícia (Agroindústria, Alimentos) constantes no Catálogo Nacional de Cursos Técnicos vigente e que tenham cursado integralmente seus cursos em instituições públicas de ensino federal ou estadual da região norte do país."
133,INDÍGENAS que cursaram integralmente o Ensino Médio em escolas públicas
134,NEGROS (pretos e pardos) que cursaram integralmente o Ensino Médio em escolas públicas (Banca avaliadora obrigatória)
135,de comunidades remanescentes de quilombos ou comunidades identitárias tradicionais
136,de origem cigana
137,indígenas aldeados
138,"transexuais, travestis e transgêneros"
139,Candidato (s) com necessidades educacionais especiais. Decreto nº 3298/99
140,Candidato (s) indígena
141,Candidatos que tenha cursado integral e exclusivamente os ensinos fundamental e médio em estabelecimentos da rede pública de ensino e que se autodeclarem negros.
142,Candidatos que tenham cursado integral e exclusivamente os ensinos fundamental e médio em estabelecimentos da rede pública de ensino.
143,"que cursaram integralmente o Ensino Médio em escolas regulares e presenciais, públicas e privadas dos municípios do Estado do Piauí"
144,"Candidatos Ciganos que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
145,"Candidatos com deficiência, transtorno do espectro autista e altas habilidades que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
146,"Candidatos Indígenas que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
147,"Candidatos Negros que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
148,"Candidatos Quilombolas que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
149,"Candidatos Transexuais, travestis e transgêneros que tenham cursado todo o 2º Ciclo do Ensino Fundamental e o Ensino Médio exclusivamente em escola pública, que tenham renda bruta familiar mensal inferior ou igual a 04 (quatro) vezes o valor do salário mínimo nacional vigente no ato da matrícula e que não possuam título de graduação."
150,"Critério de Inclusão Regional (Bônus de 10%), de acordo com a Resolução nº 22/2015 - CONSUNI/UFAL, de 04 de maio de 2015."
151,"Candidatos que tenham cursado integralmente o ensino médio ou médio integrado ao técnico ou médio cursado integralmente em escola pública junto ao técnico no Colégio Técnico Dom Agostinho Ikas - CODAI, vinculado à UFRPE."
152,Candidatos que tenham cursado integralmente o ensino médio em qualquer uma das escolas situadas nas microrregiões do Agreste ou do Sertão de Pernambuco.
153,Candidatos que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública  e que não se autodeclararam negros.
154,Candidatos que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que se autodeclararam negros.
155,Candidatos que tenham cursado todo o Ensino Médio e os últimos quatro anos do Ensino Fundamental em Escola Pública e que sejam índios reconhecidos pela FUNAI ou moradores de comunidades remanescentes de quilombos registrados na Fundação Cultural Palmares.
156,"Candidato (s) que comprovem residência em Fortaleza ou em  um dos municípios da Região Metropolitana  de Fortaleza do Estado do Ceará, estabelecida pelo IPECE;"
157,Candidato (s) que tenham concluído o Ensino Médio no Estado do Ceará;
158,"Candidato (s) que comprovem residência em um dos municípios da Macrorregião Cariri-Centro Sul do Estado do Ceará, estabelecida pelo IPECE;"
159,"Candidato (s) que comprovem residência em um dos municípios da Macrorregião Sobral-Ibiapaba  do Estado do Ceará, estabelecida pelo IPECE;"
160,"Candidato (s) que comprovem residência em um dos municípios da Macrorregião Litoral Leste-Jaguaribe do Estado do Ceará, estabelecida pelo IPECE;"
161,"Candidato (s) que comprovem residência em um dos municípios da Macrorregião Sertão Central  do Estado do Ceará, estabelecida pelo IPECE;"
162,"Candidato (s) que comprovem residência em um dos municípios da Macrorregião Litoral Oeste  do Estado do Ceará, estabelecida pelo IPECE;"
163,"Candidato (s) que comprovem residência em um dos municípios da Macrorregião Baturité do Estado do Ceará, estabelecida pelo IPECE;"
164,"Candidato (s) que comprovem residência em um dos municípios da Macrorregião Sertão dos Inhamuns do Estado do Ceará, estabelecida pelo IPECE;"
165,Candidatos afrodescendentes residentes em quilombos
166,Candidatos assentados pela reforma agrária
167,Candidatos indígenas
168,Candidatos ao Critério de Inclusão Regional
169,"Categoria I - Candidatos declarados negros, de baixa renda e egressos de escola pública"
